Sem,Class Code,Learning Module,Instructor,Venue,Time,day
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/02/07
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/02/07
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/02/09
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/02/09
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/02/10
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/02/10
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/02/10
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/02/13
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/02/13
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/02/13
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/02/14
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/02/14
2,MENG221-221,ENGLISH IV,HO SIO WA,B304,14:30-17:30,2023/02/14
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/02/16
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/02/16
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/02/17
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/02/17
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/02/17
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/02/20
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/02/20
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/02/20
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/02/21
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/02/21
2,MENG221-221,ENGLISH IV,HO SIO WA,B304,14:30-17:30,2023/02/21
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/02/23
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/02/23
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/02/24
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/02/24
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/02/24
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/02/27
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/02/27
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/02/27
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/02/28
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/02/28
2,MENG221-221,ENGLISH IV,HO SIO WA,B304,14:30-17:30,2023/02/28
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/03/02
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/03/02
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/03/03
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/03/03
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/03/03
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/03/06
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/03/06
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/03/06
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/03/07
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/03/07
2,MENG221-221,ENGLISH IV,HO SIO WA,B304,14:30-17:30,2023/03/07
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/03/09
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/03/09
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/03/10
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/03/10
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/03/10
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/03/13
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/03/13
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/03/13
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/03/14
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/03/14
2,MENG221-221,ENGLISH IV,HO SIO WA,B304,14:30-17:30,2023/03/14
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/03/16
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/03/16
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/03/17
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/03/17
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/03/17
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/03/20
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/03/20
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/03/20
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/03/21
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/03/21
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/03/23
